parameter_name,Zygomatic bone
pvalue,0.1807829
analysis_id,9y6t671ci93x0nf
parameter_id,IMPC_XRY_002_001
gene_accession_id,MGI:3650254
mouse_life_stage,Early adult
gene_symbol,Zfp683
mouse_strain,C57BL
