analysis_id,m5pad38wz03f9ea
gene_symbol,Cdin1
gene_accession_id,MGI:3026886
mouse_strain,C57BL
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
pvalue,0.6732834
parameter_name,% Pre-pulse inhibition - PPI2
