parameter_id,IMPC_ECG_005_001
parameter_name,PQ
pvalue,0.3075807
mouse_strain,C57BL
gene_symbol,Mov10
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
analysis_id,abp61352q0o5z6o
