gene_symbol,Ntmt2
parameter_id,MGP_MLN_009_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2685053
pvalue,0.2055709
analysis_id,4oky4h671pv2hfh
parameter_name,Effector Treg cells - % of Treg
mouse_strain,C57BL
