gene_symbol,Stk35
analysis_id,1r7573h6f4a4tfw
gene_accession_id,MGI:1914583
parameter_id,MGP_IMM_089_001
mouse_life_stage,Early adult
parameter_name,KLRG1+ gd T cells - % of CD45+
pvalue,0.4874803
mouse_strain,C57BL
