gene_symbol,Ntmt2
gene_accession_id,MGI:2685053
analysis_id,q3902g9po0436t0
parameter_name,Eyelid morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.5532259
parameter_id,IMPC_EYE_004_001
