analysis_id,95n35i81040mj4z
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.870456
mouse_strain,C57BL
gene_symbol,Bmi1
parameter_id,MGP_PBI_011_001
