parameter_name,Prepulse inhibition - PP2
gene_symbol,Secisbp2l
mouse_strain,C57BL
gene_accession_id,MGI:1917604
mouse_life_stage,Late adult
analysis_id,wvh195c22s14xra
pvalue,0.2106441
parameter_id,ESLIM_011_001_702
