analysis_id,3c5uoh9s845k574
gene_accession_id,MGI:87968
parameter_name,Hindlimbs - shape
gene_symbol,Ahcy
mouse_strain,C57BL
parameter_id,JAXLA_CSD_021_001
pvalue,0.7732999
mouse_life_stage,E12.5
