analysis_id,16t2zsa6755ib71
parameter_name,Total NK cells - % of CD45+
gene_symbol,Pum1
parameter_id,MGP_MLN_031_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1931749
pvalue,0.9138636
mouse_strain,C57BL
