gene_symbol,Tnni1
mouse_life_stage,Early adult
analysis_id,012867eot3848qv
pvalue,0.2229127
parameter_id,ESLIM_011_001_010
mouse_strain,C57BL
parameter_name,PP4 + pulse startle magnitude
gene_accession_id,MGI:105073
