gene_symbol,Secisbp2l
parameter_id,MGP_IMM_014_001
gene_accession_id,MGI:1917604
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_life_stage,Early adult
pvalue,0.7737485
mouse_strain,C57BL
analysis_id,76014nk16b5qg87
