parameter_name,Neutrophil cell count
pvalue,0.5576161
analysis_id,69tnlo1l7zzoa86
gene_accession_id,MGI:88479
parameter_id,IMPC_HEM_030_001
mouse_strain,C57BL
gene_symbol,Cpa3
mouse_life_stage,Early adult
