parameter_name,Stroke Volume
analysis_id,rxvk68s2aat6bz8
gene_symbol,Trdmt1
gene_accession_id,MGI:1274787
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
pvalue,0.6870479
mouse_strain,C57BL
