parameter_name,Thoracic processes
gene_accession_id,MGI:1346088
mouse_life_stage,Early adult
pvalue,0.4961465
parameter_id,IMPC_XRY_064_001
analysis_id,wor8s07hzhjh35u
mouse_strain,C57BL
gene_symbol,Cd52
