analysis_id,n2t7775dl9p9139
parameter_name,Mean corpuscular hemoglobin
mouse_strain,C57BL
gene_accession_id,MGI:1919949
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_006_001
gene_symbol,Lime1
pvalue,0.3625144
