analysis_id,qpp1m09ex69qzg0
parameter_name,Startle response
gene_accession_id,MGI:1916220
parameter_id,MGP_CSD_008_001
gene_symbol,Dcaf12
pvalue,0.9804624
mouse_strain,C57BL
mouse_life_stage,Early adult
