gene_symbol,Hpca
mouse_strain,C57BL
parameter_name,Cue Baseline % Freezing Time
pvalue,8.965398e-05
analysis_id,pqk8x1n9k5282q9
mouse_life_stage,Late adult
parameter_id,HRWLLA_FEA_015_001
gene_accession_id,MGI:1336200
