parameter_name,Phosphorus
mouse_strain,C57BL
parameter_id,IMPC_CBC_010_001
mouse_life_stage,Early adult
gene_symbol,Tnni1
pvalue,0.1818106
analysis_id,uisv27pxuw7l93b
gene_accession_id,MGI:105073
