parameter_name,Total cholesterol
gene_symbol,Ola1
pvalue,0.7750696
mouse_strain,C57BL
parameter_id,HMGULA_CBC_015_001
mouse_life_stage,E18.5
gene_accession_id,MGI:1914309
analysis_id,4443xb7l1exy1o8
