analysis_id,n87r1146h90rv80
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
mouse_life_stage,E9.5
pvalue,0.3857609
mouse_strain,C57BL
gene_symbol,Orc2
gene_accession_id,MGI:1328306
