analysis_id,1g9ob693j41m7mv
gene_symbol,Ahcy
parameter_name,Latency to first transition into dark
mouse_strain,C57BL
parameter_id,IMPC_LDT_006_001
gene_accession_id,MGI:87968
pvalue,0.8756761
mouse_life_stage,E12.5
