parameter_name,Edema
gene_symbol,Sgip1
mouse_life_stage,Early adult
parameter_id,IMPC_GEO_064_001
analysis_id,461k7291xzc5272
gene_accession_id,MGI:1920344
pvalue,0.3974917
mouse_strain,C57BL
