analysis_id,22692mo68i93sk5
parameter_id,MGP_IMM_072_001
parameter_name,CD4+ T helper cells - % of CD45+
pvalue,0.06748463
gene_symbol,Tox
mouse_strain,C57BL
gene_accession_id,MGI:2181659
mouse_life_stage,Early adult
