gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_name,Periphery average speed
pvalue,0.6544688
mouse_strain,C57BL
analysis_id,gz69z4bhzec98ey
gene_accession_id,MGI:1341628
parameter_id,ESLIM_007_001_009
