gene_symbol,Mov10
pvalue,0.6327188
parameter_id,JAX_OFD_016_001
parameter_name,Center permanence time
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:97054
analysis_id,nmhrv87t77b6m39
