gene_symbol,S100a3
parameter_name,Body Weight
analysis_id,u795j12t9q18391
parameter_id,M-G-P_020_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1338849
pvalue,0.4480771
mouse_strain,C57BL
