parameter_id,IMPC_HEM_006_001
pvalue,0.4578755
gene_accession_id,MGI:1336200
parameter_name,Mean corpuscular hemoglobin
gene_symbol,Hpca
analysis_id,9abti0q8jld6bj4
mouse_strain,C57BL
mouse_life_stage,Early adult
