analysis_id,yxp65acihjm735d
pvalue,0.3257036
mouse_strain,C57BL
parameter_name,Percent time in dark
parameter_id,JAX_LDT_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1918345
gene_symbol,Kif24
