parameter_name,Creatinine
analysis_id,068x7zq4s503492
gene_accession_id,MGI:99501
parameter_id,JAX_URI_002_001
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.9495057
gene_symbol,Fgb
