parameter_name,CD8 CD44+CD62L- T cells
pvalue,0.4691429
gene_accession_id,MGI:1917604
analysis_id,k643v1rchh651e8
mouse_life_stage,Middle aged adult
gene_symbol,Secisbp2l
mouse_strain,C57BL
parameter_id,IMPC_IMM_032_001
