analysis_id,4lv0o5887pl90tv
pvalue,0.9899891
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:109356
parameter_name,UIBC (unsaturated iron binding capacity)
gene_symbol,Snap23
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
