parameter_name,Lean mass
gene_symbol,Slc45a3
gene_accession_id,MGI:1922082
parameter_id,IMPC_DXA_003_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,8jn5o0yr1520t1y
pvalue,0.255677
