analysis_id,2qg83jwb9215m33
parameter_id,MGP_MLN_006_001
gene_accession_id,MGI:1919935
pvalue,0.09951207
gene_symbol,Dnajc6
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
