gene_symbol,Rhbg
parameter_id,MGP_IMM_129_001
pvalue,0.8682007
parameter_name,CD11b-high cDC - % of CD45+
mouse_strain,C57BL
analysis_id,c358im19x95cs46
gene_accession_id,MGI:1927379
mouse_life_stage,Early adult
