parameter_name,Tibia length
parameter_id,IMPC_XRY_033_001
gene_symbol,Steap3
pvalue,0.3322455
gene_accession_id,MGI:1915678
analysis_id,6neg5l03n71o746
mouse_strain,C57BL
mouse_life_stage,Early adult
