analysis_id,a8693vy9y9d60i7
pvalue,0.3511488
mouse_strain,C57BL
parameter_id,IMPC_XRY_064_001
parameter_name,Thoracic processes
mouse_life_stage,Early adult
gene_symbol,Sla2
gene_accession_id,MGI:1925049
