analysis_id,a1n90prur10369n
gene_symbol,Ppm1j
parameter_name,Limb coat/hair presence
parameter_id,MGP_CSD_030_001
mouse_strain,C57BL
gene_accession_id,MGI:1919137
pvalue,0.3860867
mouse_life_stage,Early adult
