analysis_id,1n59j3k8du0ohy1
parameter_id,JAX_SLW_013_001
mouse_life_stage,Early adult
pvalue,0.1464133
gene_accession_id,MGI:1915087
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
gene_symbol,Tiprl
