analysis_id,je99ypqg0g44l98
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
parameter_id,IMPC_OWT_004_001
mouse_strain,C57BL
parameter_name,Right kidney weight
gene_symbol,CAR13
pvalue,0.9272531
