parameter_name,Cornea
pvalue,0.533493
mouse_strain,C57BL
parameter_id,IMPC_EYE_007_001
gene_symbol,Dmap1
mouse_life_stage,Early adult
analysis_id,v6eop45rumfyl54
gene_accession_id,MGI:1913483
