analysis_id,6z1db504g83ayue
pvalue,0.6814675
mouse_strain,C57BL
gene_accession_id,MGI:88479
parameter_id,IMPC_GPP_004_001
mouse_life_stage,Early adult
parameter_name,Placenta Size
gene_symbol,Cpa3
