analysis_id,68i876062d67r5v
parameter_id,ESLIM_011_001_702
pvalue,0.4734754
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP2
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
