gene_symbol,Fpgs
mouse_strain,C57BL
analysis_id,9l9mmvhvusf8v08
parameter_name,Alkaline phosphatase
mouse_life_stage,Early adult
pvalue,0.8256552
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:95576
