analysis_id,m2tp960640509m9
gene_accession_id,MGI:1916363
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Phosphorus
pvalue,0.1204869
gene_symbol,Alkbh3
parameter_id,IMPC_CBC_010_001
