analysis_id,42fjp7tjf381257
pvalue,0.3746125
gene_accession_id,MGI:2448481
parameter_id,JAX_ROT_002_001
gene_symbol,Mgst2
parameter_name,Average duration
mouse_strain,C57BL
mouse_life_stage,Early adult
