gene_symbol,Mms22l
pvalue,0.5166752
analysis_id,j3f45c526b3g2ay
parameter_id,MGP_PBI_016_001
parameter_name,Monocyte percentage
mouse_strain,C57BL
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
