analysis_id,fp2uqdnh0wt8489
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
gene_symbol,Zcchc2
pvalue,0.3750788
parameter_name,KLRG1+ gd T cells - % of gd T cells
gene_accession_id,MGI:2444114
mouse_strain,C57BL
