parameter_id,MGP_BMI_006_001
mouse_strain,C57BL
gene_symbol,Bcs1l
pvalue,0.5825869
analysis_id,2gc4940e71689c2
mouse_life_stage,E12.5
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_accession_id,MGI:1914071
