gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.5240307
gene_accession_id,MGI:95576
parameter_name,PP1 startle magnitude
mouse_strain,C57BL
parameter_id,ESLIM_011_001_002
analysis_id,xmao1l1bn85q5j2
