parameter_name,Center permanence time
gene_symbol,Col6a3
pvalue,0.5443791
gene_accession_id,MGI:88461
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,wl1931zique151h
