gene_symbol,Ifi44
gene_accession_id,MGI:2443016
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,07yt1f68f69123y
parameter_id,JAXLA_DXA_003_001
pvalue,0.6035112
parameter_name,Lean mass
