analysis_id,4aqu17baex7uq6u
parameter_id,JAXLA_OFD_020_001
mouse_strain,C57BL
pvalue,0.5740961
parameter_name,Distance travelled - total
mouse_life_stage,Early adult
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
