parameter_id,HRWLLA_OFD_020_001
gene_accession_id,MGI:88380
mouse_strain,C57BL
parameter_name,Distance travelled - total
gene_symbol,F2
mouse_life_stage,Early adult
analysis_id,084ia07a1j27g09
pvalue,0.708231
