gene_symbol,Snap23
parameter_id,ESLIM_011_001_702
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Prepulse inhibition - PP2
pvalue,0.4473319
analysis_id,l8158ka086z2yl2
gene_accession_id,MGI:109356
