parameter_name,Caudal processes
analysis_id,5sgf689sua9h1e3
mouse_strain,C57BL
pvalue,0.7454912
gene_accession_id,MGI:1914561
parameter_id,IMPC_XRY_067_001
mouse_life_stage,Early adult
gene_symbol,Nanp
