parameter_name,DN NKT cells
analysis_id,lzbmx1515719640
mouse_strain,C57BL
pvalue,0.9732465
parameter_id,IMPC_IMM_013_001
gene_symbol,Ints7
mouse_life_stage,E9.5
gene_accession_id,MGI:1924315
