analysis_id,ixu982642ni747u
mouse_strain,C57BL
gene_symbol,Trpa1
parameter_name,Mean corpuscular hemoglobin
pvalue,0.69482
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
parameter_id,IMPC_HEM_006_001
