gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_life_stage,Early adult
parameter_name,Retina (combined)
parameter_id,JAXLA_EYE_092_001
analysis_id,oa53264d71l168o
mouse_strain,C57BL
pvalue,0.6918007
