gene_symbol,Mapkap1
pvalue,0.533725
parameter_name,CD11b-high cDC - % of CD45+
parameter_id,MGP_IMM_129_001
analysis_id,g6vb6m147029655
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:2444554
