analysis_id,ujon6xonmjrssee
mouse_life_stage,Early adult
pvalue,0.8848303
parameter_id,IMPC_ECG_008_001
parameter_name,ST
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
mouse_strain,C57BL
