parameter_name,Alkaline phosphatase
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
analysis_id,w09d8051rq2es90
parameter_id,IMPC_CBC_014_001
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.3233193
