gene_symbol,Bmp7
mouse_life_stage,Early adult
gene_accession_id,MGI:103302
pvalue,0.5318577
parameter_name,KLRG1+ gd T cells - % of CD45+
parameter_id,MGP_IMM_089_001
analysis_id,hpmt1sdy2225230
mouse_strain,C57BL
