parameter_id,CCP_LFO_001_001
pvalue,0.5789229
analysis_id,155pwv963864qq2
parameter_name,Weight
mouse_strain,C57BL
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
